mid	oldName	newName	category	reason
800000003271	星轨漫游者	番剧备忘录	二次元	二次元/番剧/鬼畜内容；依据：沉浸式扮演二次元美少女，这一刻仿佛穿越进了幻想世界
800000004561	星轨漫游者	鬼畜工坊间	二次元	二次元/番剧/鬼畜内容；依据：主做二次元鬼畜～动漫、音乐、游戏～记录脑洞大开的创作日常
800000014329	星轨漫游者	漫展后台记	二次元	二次元/番剧/鬼畜内容；依据：专注二次元与奇幻题材的深度解析与创作分享
800000015575	星轨漫游者	日常碎片夹	生活	生活/日常/旅行内容；依据：日常碎片｜摸鱼时刻的治愈小瞬间
800000019159	星轨漫游者	航天资料舱	科普	科普/宇宙/设定内容；依据：航天领域深度爱好者，分享硬核科普与生活趣事，探索宇宙的浪漫与真实
800000020329	星轨漫游者	舞台直拍库	舞台	舞台直拍/追星内容；依据：年末返场舞蹈翻跳
800000024162	星轨漫游者	弹幕剪辑台	二次元	二次元/番剧/鬼畜内容；依据：【整活】围观知名主播点评选手cosplay，直呼美味！直播间突发状况，怒
800000029827	星轨漫游者	副本复盘社	游戏	游戏/实况/攻略内容；依据：资深卡牌策略爱好者，专注构筑与高分段娱乐对局，热衷于在博弈中寻找乐趣，感
800000033613	星轨漫游者	街拍取景框	摄影	摄影/影像/镜头内容；依据：街头摄影互动｜路人镜头下的偶然瞬间
800000033778	星轨漫游者	生活小账本	生活	生活/日常/旅行内容；依据：记录日常碎片与灵感瞬间
800000038909	星轨漫游者	萌宠日记本	宠物	宠物/动物内容；依据：这究竟是哪只小猫咪？
800000040341	星轨漫游者	翻唱收音机	音乐	音乐/翻唱/电音内容；依据：余音袅袅，在旋律消散后捕捉那些细微的情感共振
800000051072	星轨漫游者	烂片排雷指南	影视	影视/影评/剧集内容；依据：热衷搬运影视综艺高能切片，致力于用精彩片段点亮你的日常，感谢关注让分享更
800000052846	星轨漫游者	路人相册本	生活	生活/日常/旅行内容；依据：日常碎碎念，记录生活里的小确幸与小倒霉
800000055691	星轨漫游者	旅行便利贴	生活	生活/日常/旅行内容；依据：记录生活里的微小确幸与日常碎片
800000056236	星轨漫游者	高光存档员	游戏	游戏/实况/攻略内容；依据：日常混迹于三角符文 omori forsaken dod 等小众游戏圈 
800000058098	星轨漫游者	卡关研究所	游戏	游戏/实况/攻略内容；依据：角色强度对比：月感电阵容中优先保少女还是伊涅芙
800000061094	星轨漫游者	小确幸日记	生活	生活/日常/旅行内容；依据：傲娇日常小剧场
800000061309	星轨漫游者	街角记录簿	生活	生活/日常/旅行内容；依据：追更日常碎片，偶尔分享生活里的闪光时刻
800000014483	星轨观测者	战史资料柜	军事历史	军事/历史/世界观内容；依据：每周固定晚间直播，沉浸战锤世界观，热衷梳理架空历史脉络
800000019205	星轨观测者	宇宙讲义本	科普	科普/宇宙/设定内容；依据：喜欢探索宇宙奥秘与科幻世界的普通观众
800000021172	星轨观测者	抽卡实验室	游戏	游戏/实况/攻略内容；依据：格斗游戏·反派角色终结技连招演示
800000031638	星轨观测者	练习室前排	舞台	舞台直拍/追星内容；依据：【虚拟偶像】2025年度高能语录 TOP30 合集
800000032695	星轨观测者	天文望远镜	科普	科普/宇宙/设定内容；依据：专注宇宙探索与科幻解析，分享前沿天文知识与深度解读
800000035570	星轨观测者	硬核科普站	科普	科普/宇宙/设定内容；依据：探索奇幻文学与魔法体系的奥秘
800000035981	星轨观测者	下班随手拍	生活	生活/日常/旅行内容；依据：天秤座少女的日常碎碎念
800000038005	星轨观测者	猫咪小剧场	宠物	宠物/动物内容；依据：一只会喵喵叫又爱寻宝的蝠鲼
800000049031	星轨观测者	打歌现场簿	舞台	舞台直拍/追星内容；依据：【男艺人】古风歌曲舞台高清直拍
800000054145	星轨观测者	护肤空瓶记	美妆	美妆/护肤/穿搭内容；依据：直男改造指南：穿搭技巧与游戏实战
800000058259	星轨观测者	温柔备忘录	生活	生活/日常/旅行内容；依据：记录生活中的微小确幸
800000060084	星轨观测者	应援录像带	舞台	舞台直拍/追星内容；依据：【单人直拍】Hey Mama 高画质舞台｜跨年演唱会精选
800000061537	星轨观测者	摸鱼日常簿	生活	生活/日常/旅行内容；依据：日常分享动漫与游戏趣事，关注二次元文化动态
800000065748	星轨观测者	偶像切片站	舞台	舞台直拍/追星内容；依据：专注追踪 K-POP 潮流动态，分享音乐现场与舞台幕后花絮
800000067075	星轨观测者	胶片冲扫室	摄影	摄影/影像/镜头内容；依据：偶尔分享日常与摄影作品的普通用户
800000002491	光影拾荒者	万字影评小组	影视	影视/影评/剧集内容；依据：为什么某知名导演口碑逆转，投资额高达数十亿？十年前他们的创作理念有多超前
800000011149	光影拾荒者	冷门佳片局	影视	影视/影评/剧集内容；依据：日常分享近期看的电影与剧集
800000015947	光影拾荒者	快门练习册	摄影	摄影/影像/镜头内容；依据：零下30度暴雪中体验生态摄影师的乐趣
800000022254	光影拾荒者	逐帧看片会	影视	影视/影评/剧集内容；依据：深耕幕后解析与学术向影评，坚持用论文逻辑拆解镜头语言。
800000025478	光影拾荒者	剧集复盘社	影视	影视/影评/剧集内容；依据：【美影解说】科幻喜剧天团远征异星，机械萌宠身世惊天反转！
800000030814	光影拾荒者	长焦随身包	摄影	摄影/影像/镜头内容；依据：记录城市街头巷尾的日常碎片，用镜头捕捉生活中的小确幸
800000031498	光影拾荒者	美妆试用间	美妆	美妆/护肤/穿搭内容；依据：深耕居家护肤美学，专注美容仪与宝藏美妆好物深度测评，分享实用护肤灵感与日
800000035384	光影拾荒者	城市取景器	摄影	摄影/影像/镜头内容；依据：用镜头捕捉日常中稍纵即逝的平凡瞬间，定格成不朽的视觉记忆
800000043412	光影拾荒者	人文纪实簿	摄影	摄影/影像/镜头内容；依据：在胶片里打捞旧时光，用文字重构影像的呼吸。
800000045083	光影拾荒者	普通人日记	生活	生活/日常/旅行内容；依据：日常碎片与影像记录
800000046768	光影拾荒者	幕后拆片室	影视	影视/影评/剧集内容；依据：某知名乳业品牌居然拍微电影了？双影帝联手揭秘北方‘隐秘往事’，结局令人动
800000049230	光影拾荒者	后期修图台	摄影	摄影/影像/镜头内容；依据：摄影教程：闪光灯与快门速度的搭配技巧
800000002565	星河漫游者	设定集小屋	二次元	二次元/番剧/鬼畜内容；依据：[动画混剪] 致敬经典名曲的创意呈现
800000011264	星河漫游者	追星备忘录	舞台	舞台直拍/追星内容；依据：某男团练习生《只要有你》舞台直拍
800000025111	星河漫游者	城市散步册	生活	生活/日常/旅行内容；依据：日常分享生活碎片与兴趣记录
800000031420	星河漫游者	今日份记录	生活	生活/日常/旅行内容；依据：感谢每一份支持，愿生活充满阳光与奇迹
800000036669	星河漫游者	快乐收纳盒	生活	生活/日常/旅行内容；依据：偶尔上线，日常分享与随想
800000043700	星河漫游者	三机位直拍	舞台	舞台直拍/追星内容；依据：专注分享李圣经及近期喜爱的明星动态，喜欢时尚与颜值的你快来关注吧，共同追
800000057715	星河漫游者	生活切片机	生活	生活/日常/旅行内容；依据：专注二次元与日常记录
800000060405	星河漫游者	冷门歌单簿	音乐	音乐/翻唱/电音内容；依据：跟着经典曲目卡点挑战
800000063997	星河漫游者	脑洞便利贴	生活	生活/日常/旅行内容；依据：记录生活里的小确幸与脑洞时刻
800000068363	星河漫游者	细碎取景框	生活	生活/日常/旅行内容；依据：用镜头记录生活的细碎美好
800000009551	星野漫游者	角落留言簿	生活	生活/日常/旅行内容；依据：分享日常的小角落，感谢每一位路过的朋友
800000024533	星野漫游者	热爱记录本	生活	生活/日常/旅行内容；依据：记录日常点滴，分享生活中的小确幸与热爱
800000025816	星野漫游者	夜宵路线图	美食	美食/厨房/探店内容；依据：日常分享生活碎片，偶尔记录旅行与美食，享受每一刻的宁静时光
800000034664	星野漫游者	北方挑战册	生活	生活/日常/旅行内容；依据：记录日常点滴，分享生活里的小确幸与碎碎念
800000041280	星野漫游者	战术读档中	游戏	游戏/实况/攻略内容；依据：某装备通关高难度副本仅用69秒，实现全属性攻击效果
800000060466	星野漫游者	温柔陪伴站	生活	生活/日常/旅行内容；依据：偶尔记录日常碎片，分享生活中的小确幸，感谢一路陪伴的每一位朋友～
800000061331	星野漫游者	闪光日常簿	生活	生活/日常/旅行内容；依据：日常碎片记录 | 偶尔分享生活里的闪光时刻
800000066817	星野漫游者	装备测评台	游戏	游戏/实况/攻略内容；依据：探索游戏世界的每一个角落，记录高光时刻与日常碎片
800000067823	星野漫游者	片场考古队	影视	影视/影评/剧集内容；依据：日常分享与兴趣探索
800000010776	光影捕手	高能剪辑台	影视	影视/影评/剧集内容；依据：热衷于剪辑与分享海外趣味短片
800000013466	光影捕手	奇想镜头册	生活	生活/日常/旅行内容；依据：用镜头捕捉日常里的奇思妙想，热爱记录与分享生活的每一个瞬间
800000014216	光影捕手	角色档案夹	二次元	二次元/番剧/鬼畜内容；依据：漫展常客 镜头下的二次元
800000024681	光影捕手	光线记录本	摄影	摄影/影像/镜头内容；依据：分享视觉创意与影像灵感
800000046714	光影捕手	街头穿搭簿	生活	生活/日常/旅行内容；依据：用镜头捕捉生活中的微小奇迹与日常美好
800000063049	光影捕手	构图备忘录	摄影	摄影/影像/镜头内容；依据：镜头背后的故事 记录日常瞬间 分享摄影技巧与后期心得 感谢关注与交流
800000067686	光影捕手	细微感动册	生活	生活/日常/旅行内容；依据：记录生活里的细微感动
800000034854	像素漫游者	电音调音台	音乐	音乐/翻唱/电音内容；依据：【双人合唱】两位歌手的抒情翻唱演绎
800000042417	像素漫游者	街机旧档案	游戏	游戏/实况/攻略内容；依据：沉浸在虚拟世界的每一次探索中，分享那些被忽略的游戏细节与感动。
800000042839	像素漫游者	独游试玩间	游戏	游戏/实况/攻略内容；依据：记录游戏里的每一个可爱瞬间
800000060480	像素漫游者	速通练习册	游戏	游戏/实况/攻略内容；依据：在虚拟世界里寻找片刻宁静，游戏与动画是我的精神避难所
800000063074	像素漫游者	对局观察席	游戏	游戏/实况/攻略内容；依据：专注独立游戏评测与怀旧街机文化，记录每一段数字世界的冒险故事
800000063407	像素漫游者	手游配队表	游戏	游戏/实况/攻略内容；依据：沉浸在虚拟世界的每一帧里，用热爱记录游戏高光时刻
800000017736	拾光记录者	老片放映员	影视	影视/影评/剧集内容；依据：用心捕捉日常碎片，用镜头记录生活温度。愿这里能成为你放松心情的小天地，一
800000018133	拾光记录者	闲聊小日记	生活	生活/日常/旅行内容；依据：热爱分享生活中的小确幸，偶尔聊聊日常点滴
800000032095	拾光记录者	像素存档点	游戏	游戏/实况/攻略内容；依据：独立游戏十周年纪念系列之配角特辑-迷失自我
800000032875	拾光记录者	美好瞬间簿	生活	生活/日常/旅行内容；依据：日常碎片分享，记录生活里的小确幸与美好瞬间
800000047459	拾光记录者	剧情显微镜	影视	影视/影评/剧集内容；依据：专注于经典影视与怀旧文化的深度解析与分享，带你重温岁月中的光影故事。
800000047934	拾光记录者	喜欢收藏夹	生活	生活/日常/旅行内容；依据：在互联网上分享自己喜欢的东西，记录生活的点滴瞬间
800000031007	光影拾遗者	电影下饭社	影视	影视/影评/剧集内容；依据：致力于捕捉影像中的情感共鸣，分享那些能触动灵魂的电影瞬间与深度解析
800000046410	光影拾遗者	悬疑拆解班	影视	影视/影评/剧集内容；依据：漫步电影长河，品味人间百态
800000050998	光影拾遗者	动作片档案	影视	影视/影评/剧集内容；依据：专注分享高分佳作
800000054778	光影拾遗者	光线美学札记	生活	生活/日常/旅行内容；依据：痴迷于光线与空间的对话，分享日常光影美学灵感。拒绝模板化设计，追求每一束
800000067598	光影拾遗者	旅拍样片库	摄影	摄影/影像/镜头内容；依据：专注经典影像修复与分享，记录每一帧的时光故事。
800000024357	追光少年	随手碎片簿	生活	生活/日常/旅行内容；依据：分享日常碎片
800000045599	追光少年	点滴记录册	生活	生活/日常/旅行内容；依据：记录日常点滴
800000052428	追光少年	自由路书	生活	生活/日常/旅行内容；依据：热爱自由，记录日常
800000056761	追光少年	舞蹈回放键	舞台	舞台直拍/追星内容；依据：记录每一次舞台带来的感动与力量
800000059088	追光少年	心动瞬间簿	生活	生活/日常/旅行内容；依据：日常分享生活趣事与心动瞬间
800000037463	墨染青衫客	热爱手账本	生活	生活/日常/旅行内容；依据：热爱记录生活中的小确幸
800000058261	墨染青衫客	旋律收藏夹	音乐	音乐/翻唱/电音内容；依据：【假如系列】假如热门歌曲发生在经典美漫家庭喜剧中的填词恶搞
800000059193	墨染青衫客	内容手札本	综合	综合创作/日常更新内容；依据：闲看云卷云舒，静听雨打芭蕉，以文会友，以书寄情
800000063170	墨染青衫客	美剧吐槽席	影视	影视/影评/剧集内容；依据：某系列剧集 第66集 管理者身份揭秘
800000006515	星河漫游指南	点滴分享簿	生活	生活/日常/旅行内容；依据：记录生活中的小确幸，分享日常点滴
800000019706	星河漫游指南	随想碎片册	生活	生活/日常/旅行内容；依据：偶尔分享生活碎片与随想
800000026479	星河漫游指南	副歌循环中	音乐	音乐/翻唱/电音内容；依据：【团体合唱】致敬经典歌曲《我爱你中国》演出实录
800000050040	星河漫游指南	追更快乐站	生活	生活/日常/旅行内容；依据：嘴硬型人格的日常表现盘点
800000057598	星野拾光	手作打包台	手工	手工/开箱/周边内容；依据：沉浸式打包奶油胶手工文件夹日常记录
800000058350	星野拾光	旅行见闻册	生活	生活/日常/旅行内容；依据：分享日常碎片与旅行见闻，记录生活中的小确幸
800000066914	星野拾光	动画放映室	影视	影视/影评/剧集内容；依据：知名谈话综艺完整版 中文字幕高清（嘉宾：许卿焕、刘在石）
800000067552	星野拾光	同频温柔簿	生活	生活/日常/旅行内容；依据：期待与同频的灵魂相遇，在分享中共同探索生活的温柔与光芒。
800000010615	星野漫步者	日常记录册	生活	生活/日常/旅行内容；依据：日常记录与碎片分享
800000029247	星野漫步者	温暖相遇簿	生活	生活/日常/旅行内容；依据：记录生活点滴，分享温暖日常，感谢每一位相遇的你
800000059886	星野漫步者	亲子互动册	生活	生活/日常/旅行内容；依据：日常分享：和家里的小朋友互动的有趣瞬间
800000068157	星野漫步者	追番日常表	生活	生活/日常/旅行内容；依据：追更番剧日常分享
800000039536	云端漫步者	镜头试拍间	摄影	摄影/影像/镜头内容；依据：摄影爱好者/业余无线电玩家
800000048078	云端漫步者	游戏避难所	游戏	游戏/实况/攻略内容；依据：某热门第一人称游戏更新全新每日跑酷玩法，全流程实况解说！
800000062051	云端漫步者	幽默旅人册	生活	生活/日常/旅行内容；依据：用镜头记录生活点滴的幽默旅人
800000012781	光影漫游者	数码拆机台	科技	科技/数码/硬件内容；依据：记录科技与生活的交织瞬间 分享数码开箱、深度测评与旅行光影 热爱相机、无
800000044709	光影漫游者	综艺切片铺	影视	影视/影评/剧集内容；依据：记录屏幕前的奇妙旅程，分享影视与游戏的灵感碎片
800000054319	光影漫游者	弹幕回忆录	生活	生活/日常/旅行内容；依据：在弹幕的海洋里随波逐流，偶尔回顾过去的自己，发现那些轻率的发言如今读来颇
800000046190	墨染青衫	热爱日常相册	生活	生活/日常/旅行内容；依据：用镜头记录生活点滴，分享热爱与日常
800000058699	墨染青衫	知识讲义夹	教育	教程/学习/知识内容；依据：执笔写春秋，专注书法分享与日常练字打卡
800000060965	墨染青衫	模组试验场	游戏	游戏/实况/攻略内容；依据：【同人策略游戏】第二章：旧识重逢？剧情推进与角色互动解析
800000057555	拾光漫步者	美好瞬间夹	生活	生活/日常/旅行内容；依据：日常碎片与美好瞬间记录
800000064105	拾光漫步者	碎片灵感簿	生活	生活/日常/旅行内容；依据：喜欢在碎片时间里捕捉灵感，用文字串联起生活的点滴温暖。愿每一篇分享都能为
800000066440	拾光漫步者	平凡寻光册	生活	生活/日常/旅行内容；依据：在平凡的日子里寻找生活中的小确幸
800000039575	旧梦拾荒者	细碎日常簿	生活	生活/日常/旅行内容；依据：记录生活中的细碎光影
800000042214	旧梦拾荒者	复古情怀铺	生活	生活/日常/旅行内容；依据：收藏70、80年代的复古情怀
800000045398	旧梦拾荒者	旧事打捞局	影视	影视/影评/剧集内容；依据：在泛黄的记忆里打捞被遗忘的故事
800000035558	星夜拾荒者	深夜故事篓	生活	生活/日常/旅行内容；依据：在深夜收集散落的故事碎片
800000049572	星夜拾荒者	现场收纳盒	舞台	舞台直拍/追星内容；依据：万字深扒当红偶像！队友聚餐他独自离开，深夜逃跑被粉丝偶遇，现场社死名场面
800000057290	星夜拾荒者	开黑记录本	游戏	游戏/实况/攻略内容；依据：卡牌对战游戏史上首个鬼畜大电影！
800000036428	星尘漫游者	宅舞练习室	二次元	二次元/番剧/鬼畜内容；依据：追番日常，偶尔分享二次元好物
800000048050	星尘漫游者	角色强度表	游戏	游戏/实况/攻略内容；依据：偶尔离线看看人间烟火
800000057342	星尘漫游者	未知灵感册	生活	生活/日常/旅行内容；依据：一个对未知领域充满好奇的探索者，喜欢在生活的缝隙里寻找灵感，分享点滴感悟
800000025841	星河漫步者	毛孩子相册	宠物	宠物/动物内容；依据：🐱那只快乐的小猫咪去哪了🐱
800000064812	星河漫步者	生活美学册	生活	生活/日常/旅行内容；依据：热爱探索未知，分享日常点滴与生活美学
